id,user_id,title,description,category,condition,images,preferred_item,status,created_at,updated_at,estimated_value
01433e29-4542-4de9-85f8-352e3f68c1b1,a724fa6f-063a-4ef4-b972-e4ee72d79147,"tv ",good,"electronics ",new,"[""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/a724fa6f-063a-4ef4-b972-e4ee72d79147/migrated_01433e29-4542-4de9-85f8-352e3f68c1b1_0_1772263377830.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/a724fa6f-063a-4ef4-b972-e4ee72d79147/migrated_01433e29-4542-4de9-85f8-352e3f68c1b1_1_1772263377976.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/a724fa6f-063a-4ef4-b972-e4ee72d79147/migrated_01433e29-4542-4de9-85f8-352e3f68c1b1_2_1772263378144.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/a724fa6f-063a-4ef4-b972-e4ee72d79147/migrated_01433e29-4542-4de9-85f8-352e3f68c1b1_3_1772263378325.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/a724fa6f-063a-4ef4-b972-e4ee72d79147/migrated_01433e29-4542-4de9-85f8-352e3f68c1b1_4_1772263378467.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/a724fa6f-063a-4ef4-b972-e4ee72d79147/migrated_01433e29-4542-4de9-85f8-352e3f68c1b1_5_1772263378642.jpeg""]","table ",swapped,2026-02-21 09:36:28.73+00,2026-02-21 09:39:12.357867+00,0
06e995e3-65eb-4eba-8bb8-847890765e79,7d15287c-65ae-4c4e-8361-847b135974b7,Power Bank,"Good condition and pocket size ",Electronics,like-new,"[""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_06e995e3-65eb-4eba-8bb8-847890765e79_0_1772264918556.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_06e995e3-65eb-4eba-8bb8-847890765e79_1_1772264918816.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_06e995e3-65eb-4eba-8bb8-847890765e79_2_1772264918937.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_06e995e3-65eb-4eba-8bb8-847890765e79_3_1772264919086.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_06e995e3-65eb-4eba-8bb8-847890765e79_4_1772264919209.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_06e995e3-65eb-4eba-8bb8-847890765e79_5_1772264919337.jpeg""]",Anything worthy,active,2026-02-23 10:43:03.317+00,2026-02-23 10:43:04.232199+00,0
0777aac3-16ac-4284-9728-32ff23e19010,69f721a3-10f0-49ee-944d-821c53a6c308,"headphones ","good brand now for further contact me ","electronics ",new,"[""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/69f721a3-10f0-49ee-944d-821c53a6c308/migrated_0777aac3-16ac-4284-9728-32ff23e19010_0_1772263353584.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/69f721a3-10f0-49ee-944d-821c53a6c308/migrated_0777aac3-16ac-4284-9728-32ff23e19010_1_1772263353740.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/69f721a3-10f0-49ee-944d-821c53a6c308/migrated_0777aac3-16ac-4284-9728-32ff23e19010_2_1772263353882.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/69f721a3-10f0-49ee-944d-821c53a6c308/migrated_0777aac3-16ac-4284-9728-32ff23e19010_3_1772263354022.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/69f721a3-10f0-49ee-944d-821c53a6c308/migrated_0777aac3-16ac-4284-9728-32ff23e19010_4_1772263354142.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/69f721a3-10f0-49ee-944d-821c53a6c308/migrated_0777aac3-16ac-4284-9728-32ff23e19010_5_1772263354280.jpeg""]",new,active,2026-02-22 09:55:26.033+00,2026-02-22 09:55:26.20778+00,0
0a132037-5dbe-4e3c-9acf-6f13d637343f,a724fa6f-063a-4ef4-b972-e4ee72d79147,lamp,"from ikea lights up the room ","other ",good,"[""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/a724fa6f-063a-4ef4-b972-e4ee72d79147/migrated_0a132037-5dbe-4e3c-9acf-6f13d637343f_0_1772264917464.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/a724fa6f-063a-4ef4-b972-e4ee72d79147/migrated_0a132037-5dbe-4e3c-9acf-6f13d637343f_1_1772264917626.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/a724fa6f-063a-4ef4-b972-e4ee72d79147/migrated_0a132037-5dbe-4e3c-9acf-6f13d637343f_2_1772264917761.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/a724fa6f-063a-4ef4-b972-e4ee72d79147/migrated_0a132037-5dbe-4e3c-9acf-6f13d637343f_3_1772264917973.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/a724fa6f-063a-4ef4-b972-e4ee72d79147/migrated_0a132037-5dbe-4e3c-9acf-6f13d637343f_4_1772264918138.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/a724fa6f-063a-4ef4-b972-e4ee72d79147/migrated_0a132037-5dbe-4e3c-9acf-6f13d637343f_5_1772264918286.jpeg""]","anything else ",active,2026-02-23 10:21:25.915+00,2026-02-23 10:21:26.996276+00,0
0c8f2530-a984-40a5-8966-be56b739bfac,7d15287c-65ae-4c4e-8361-847b135974b7,Wooden stool,"New stool and good in condition ",home_living,new,"[""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_0c8f2530-a984-40a5-8966-be56b739bfac_0_1772263397777.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_0c8f2530-a984-40a5-8966-be56b739bfac_1_1772263397940.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_0c8f2530-a984-40a5-8966-be56b739bfac_2_1772263398098.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_0c8f2530-a984-40a5-8966-be56b739bfac_3_1772263398235.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_0c8f2530-a984-40a5-8966-be56b739bfac_4_1772263398373.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_0c8f2530-a984-40a5-8966-be56b739bfac_5_1772263398493.jpeg""]",others,swapped,2026-02-24 09:38:50.057+00,2026-02-27 18:08:04.553315+00,0
0e9916a6-8fa3-454c-8127-d1b42a78fb62,c9e9ffcb-53a6-444a-8ae3-15696808fa03,"Orthopedic mattress ",Kurlon soft orthapedic mattress slight used for only 6 months 8 inch double bed brought for 9500,"Mattress ",like-new,"[""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/c9e9ffcb-53a6-444a-8ae3-15696808fa03/migrated_0e9916a6-8fa3-454c-8127-d1b42a78fb62_0_1772264836514.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/c9e9ffcb-53a6-444a-8ae3-15696808fa03/migrated_0e9916a6-8fa3-454c-8127-d1b42a78fb62_1_1772264836655.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/c9e9ffcb-53a6-444a-8ae3-15696808fa03/migrated_0e9916a6-8fa3-454c-8127-d1b42a78fb62_2_1772264836806.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/c9e9ffcb-53a6-444a-8ae3-15696808fa03/migrated_0e9916a6-8fa3-454c-8127-d1b42a78fb62_3_1772264836954.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/c9e9ffcb-53a6-444a-8ae3-15696808fa03/migrated_0e9916a6-8fa3-454c-8127-d1b42a78fb62_4_1772264837114.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/c9e9ffcb-53a6-444a-8ae3-15696808fa03/migrated_0e9916a6-8fa3-454c-8127-d1b42a78fb62_5_1772264837240.jpeg""]",Anything worth like tv,active,2026-02-24 05:57:53.766+00,2026-02-24 05:56:11.458874+00,0
1390c1f1-0209-496f-9c8c-17f25eddc414,140e5cfc-2aa1-4a03-9da7-6567778bbb89,Jetha,Good man with big ..... Heart,Fashion,new,"[""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/140e5cfc-2aa1-4a03-9da7-6567778bbb89/migrated_1390c1f1-0209-496f-9c8c-17f25eddc414_0_1772263351273.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/140e5cfc-2aa1-4a03-9da7-6567778bbb89/migrated_1390c1f1-0209-496f-9c8c-17f25eddc414_1_1772263351423.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/140e5cfc-2aa1-4a03-9da7-6567778bbb89/migrated_1390c1f1-0209-496f-9c8c-17f25eddc414_2_1772263351557.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/140e5cfc-2aa1-4a03-9da7-6567778bbb89/migrated_1390c1f1-0209-496f-9c8c-17f25eddc414_3_1772263351714.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/140e5cfc-2aa1-4a03-9da7-6567778bbb89/migrated_1390c1f1-0209-496f-9c8c-17f25eddc414_4_1772263351853.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/140e5cfc-2aa1-4a03-9da7-6567778bbb89/migrated_1390c1f1-0209-496f-9c8c-17f25eddc414_5_1772263352013.jpeg""]",Babita ji,swapped,2026-02-21 17:11:30.783+00,2026-02-21 17:13:30.63793+00,0
1398b107-5b55-4269-8cbb-829bcf939ed3,4de381bc-d495-4347-bf0f-c626160930c0,"Imported C case hotwheels ",Imported C case hotwheels straight from Malaysia to your collection contact at 8291732409,hobbies_crafts,new,"[""https://dealiit.com/api.php/storage/v1/object/public/item-images/4de381bc-d495-4347-bf0f-c626160930c0/1774296479525_0.jpg"",""https://dealiit.com/api.php/storage/v1/object/public/item-images/4de381bc-d495-4347-bf0f-c626160930c0/1774296479976_1.jpg"",""https://dealiit.com/api.php/storage/v1/object/public/item-images/4de381bc-d495-4347-bf0f-c626160930c0/1774296480173_2.jpg"",""https://dealiit.com/api.php/storage/v1/object/public/item-images/4de381bc-d495-4347-bf0f-c626160930c0/1774296480332_3.jpg"",""https://dealiit.com/api.php/storage/v1/object/public/item-images/4de381bc-d495-4347-bf0f-c626160930c0/1774296480528_4.jpg"",""https://dealiit.com/api.php/storage/v1/object/public/item-images/4de381bc-d495-4347-bf0f-c626160930c0/1774296480786_5.jpg"",""https://dealiit.com/api.php/storage/v1/object/public/item-images/4de381bc-d495-4347-bf0f-c626160930c0/1774296481402_6.jpg"",""https://dealiit.com/api.php/storage/v1/object/public/item-images/4de381bc-d495-4347-bf0f-c626160930c0/1774296482376_7.jpg"",""https://dealiit.com/api.php/storage/v1/object/public/item-images/4de381bc-d495-4347-bf0f-c626160930c0/1774296482639_8.jpg"",""https://dealiit.com/api.php/storage/v1/object/public/item-images/4de381bc-d495-4347-bf0f-c626160930c0/1774296482840_9.jpg""]",electronics,active,2026-03-23 20:08:03.533+00,2026-03-23 20:08:04.326211+00,0
254ad2b3-16da-4252-81a3-f18b59efc312,7d15287c-65ae-4c4e-8361-847b135974b7,Kookaburra Cricket Bat,"Kookaburra English Willow cricket bat, a bit old but still maintained.","Fashion ",fair,"[""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_254ad2b3-16da-4252-81a3-f18b59efc312_0_1772263347156.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_254ad2b3-16da-4252-81a3-f18b59efc312_1_1772263347322.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_254ad2b3-16da-4252-81a3-f18b59efc312_2_1772263347472.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_254ad2b3-16da-4252-81a3-f18b59efc312_3_1772263347605.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_254ad2b3-16da-4252-81a3-f18b59efc312_4_1772263347773.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_254ad2b3-16da-4252-81a3-f18b59efc312_5_1772263347952.jpeg""]",Anything worthy,active,2026-02-23 07:29:03.768+00,2026-02-23 07:29:05.842932+00,0
2f837f08-1ab0-464a-bab6-8d4de8029835,d4e556d5-2c48-44e6-882b-6c14334a65e0,"CBSE board 9std guides and digest's ",Guides for 9std CBSE book very less used good content no markings,"Books ",like-new,"[""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/d4e556d5-2c48-44e6-882b-6c14334a65e0/migrated_2f837f08-1ab0-464a-bab6-8d4de8029835_0_1772263392359.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/d4e556d5-2c48-44e6-882b-6c14334a65e0/migrated_2f837f08-1ab0-464a-bab6-8d4de8029835_1_1772263392503.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/d4e556d5-2c48-44e6-882b-6c14334a65e0/migrated_2f837f08-1ab0-464a-bab6-8d4de8029835_2_1772263392633.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/d4e556d5-2c48-44e6-882b-6c14334a65e0/migrated_2f837f08-1ab0-464a-bab6-8d4de8029835_3_1772263392764.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/d4e556d5-2c48-44e6-882b-6c14334a65e0/migrated_2f837f08-1ab0-464a-bab6-8d4de8029835_4_1772263392907.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/d4e556d5-2c48-44e6-882b-6c14334a65e0/migrated_2f837f08-1ab0-464a-bab6-8d4de8029835_5_1772263393042.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/d4e556d5-2c48-44e6-882b-6c14334a65e0/migrated_2f837f08-1ab0-464a-bab6-8d4de8029835_6_1772263393185.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/d4e556d5-2c48-44e6-882b-6c14334a65e0/migrated_2f837f08-1ab0-464a-bab6-8d4de8029835_7_1772263393320.jpeg""]",Anything else,active,2026-02-23 13:25:58.654+00,2026-02-23 13:25:59.273788+00,0
307d28c9-9ead-4668-b578-4b8ab3ea69de,5990a8cf-0c1e-4e0b-a103-a54577d79fc4,Jacket,Good,Fashion,new,"[""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/5990a8cf-0c1e-4e0b-a103-a54577d79fc4/migrated_307d28c9-9ead-4668-b578-4b8ab3ea69de_0_1772264915124.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/5990a8cf-0c1e-4e0b-a103-a54577d79fc4/migrated_307d28c9-9ead-4668-b578-4b8ab3ea69de_1_1772264915362.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/5990a8cf-0c1e-4e0b-a103-a54577d79fc4/migrated_307d28c9-9ead-4668-b578-4b8ab3ea69de_2_1772264915513.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/5990a8cf-0c1e-4e0b-a103-a54577d79fc4/migrated_307d28c9-9ead-4668-b578-4b8ab3ea69de_3_1772264915659.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/5990a8cf-0c1e-4e0b-a103-a54577d79fc4/migrated_307d28c9-9ead-4668-b578-4b8ab3ea69de_4_1772264915819.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/5990a8cf-0c1e-4e0b-a103-a54577d79fc4/migrated_307d28c9-9ead-4668-b578-4b8ab3ea69de_5_1772264915941.jpeg""]",Sunglasses,swapped,2026-02-21 09:54:32.589+00,2026-02-21 10:11:00.231223+00,0
35351d49-1c66-48a6-975d-66c36bb16456,7d15287c-65ae-4c4e-8361-847b135974b7,Dinning Table,good,Furniture,new,"[""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_35351d49-1c66-48a6-975d-66c36bb16456_0_1772263380082.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_35351d49-1c66-48a6-975d-66c36bb16456_1_1772263380440.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_35351d49-1c66-48a6-975d-66c36bb16456_2_1772263380569.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_35351d49-1c66-48a6-975d-66c36bb16456_3_1772263380702.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_35351d49-1c66-48a6-975d-66c36bb16456_4_1772263380841.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/7d15287c-65ae-4c4e-8361-847b135974b7/migrated_35351d49-1c66-48a6-975d-66c36bb16456_5_1772263380978.jpeg""]",Table,swapped,2026-02-21 09:36:48.874+00,2026-02-21 09:39:12.357867+00,0
3e0ecfd2-fd21-4509-832b-373f4ef39e2d,d4e556d5-2c48-44e6-882b-6c14334a65e0,CBSE board 9std books,"Good condition no pages torn just imp line or answer as been highlighted and in someplace imp things has been written down... Overall good condition ","Books ",good,"[""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/d4e556d5-2c48-44e6-882b-6c14334a65e0/migrated_3e0ecfd2-fd21-4509-832b-373f4ef39e2d_0_1772263391306.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/d4e556d5-2c48-44e6-882b-6c14334a65e0/migrated_3e0ecfd2-fd21-4509-832b-373f4ef39e2d_1_1772263391441.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/d4e556d5-2c48-44e6-882b-6c14334a65e0/migrated_3e0ecfd2-fd21-4509-832b-373f4ef39e2d_2_1772263391573.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/d4e556d5-2c48-44e6-882b-6c14334a65e0/migrated_3e0ecfd2-fd21-4509-832b-373f4ef39e2d_3_1772263391707.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/d4e556d5-2c48-44e6-882b-6c14334a65e0/migrated_3e0ecfd2-fd21-4509-832b-373f4ef39e2d_4_1772263391841.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/d4e556d5-2c48-44e6-882b-6c14334a65e0/migrated_3e0ecfd2-fd21-4509-832b-373f4ef39e2d_5_1772263392005.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/d4e556d5-2c48-44e6-882b-6c14334a65e0/migrated_3e0ecfd2-fd21-4509-832b-373f4ef39e2d_6_1772263392161.jpeg""]",Anything else,active,2026-02-23 13:21:28.91+00,2026-02-23 13:21:29.454153+00,0
40c0ddda-3bc9-448c-9268-67af804ab635,0e6ed121-6055-465d-99e5-d3580f279c47,"Het Mumbai ",qwerty,Electronics,new,"[""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/0e6ed121-6055-465d-99e5-d3580f279c47/migrated_40c0ddda-3bc9-448c-9268-67af804ab635_0_1772263374103.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/0e6ed121-6055-465d-99e5-d3580f279c47/migrated_40c0ddda-3bc9-448c-9268-67af804ab635_1_1772263374589.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/0e6ed121-6055-465d-99e5-d3580f279c47/migrated_40c0ddda-3bc9-448c-9268-67af804ab635_2_1772263374754.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/0e6ed121-6055-465d-99e5-d3580f279c47/migrated_40c0ddda-3bc9-448c-9268-67af804ab635_3_1772263374903.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/0e6ed121-6055-465d-99e5-d3580f279c47/migrated_40c0ddda-3bc9-448c-9268-67af804ab635_4_1772263375040.jpeg"",""https://gbugoqasyfdxpayjtzhm.supabase.co/storage/v1/object/public/item-images/0e6ed121-6055-465d-99e5-d3580f279c47/migrated_40c0ddda-3bc9-448c-9268-67af804ab635_5_1772263375226.jpeg""]",Iphone Model Only,swapped,2026-02-20 06:56:58.524+00,2026-02-20 07:09:27.366229+00,0
